,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39,C81,C110,C140,C17,C57,C41,C83,C112,C130,C142,C175
161,18.6,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
162,9.3,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
163,13.95,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
165,6.98,,,,,5.0,8.0,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
166,4.65,,,,,12.0,12.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
169,,,,,,,Don't know,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Monthly bill,,No,,,,,
170,18.6,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,13.95,,,,,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
173,13.95,,,,,20.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,3.0,2.0,,,No,,,,Pre-paid,,No,,,,,
174,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
175,139.53,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
176,37.21,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
177,18.6,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
178,23.26,,,,,1.0,11.0,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
179,32.56,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
180,4.65,,,,,4.0,9.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
181,13.95,,,,,3.0,20.0,,,,,,,,,,2.0,3.0,,,,,,,,,1.0,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,4.65,,,,,20.0,20.0,,,,,,,,,,1.0,1.0,,,,,,,,,6.0,6.0,,,No,,,,Fixed monthly fee,,No,,,,,
184,18.6,,,,,5.0,10.0,,,,,,,,,,3.0,3.0,,,,,,,,,2.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay based on lights and appliances used,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,4.65,,,,,,12.0,,,,,,,,,5.0,,1.0,,,,,,,,4.0,,1.0,,,No,,,,Pre-paid,,No,,,,,No
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,23.26,,,,,1.0,12.0,,,,,,,,,,1.0,4.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
191,23.26,,,,,,24.0,,,,,,,,,4.0,,4.0,,,,,,,,4.0,,1.0,,,No,,,,Pre-paid,,No,,,,,No
192,,,,,,Don't know,14.0,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
193,4.65,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,18.6,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
197,13.95,,,,,10.0,Don't know,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
198,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
199,9.3,,,,,19.0,23.0,,,,,,,,,,1.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6.98,,,,,,18.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
202,9.3,,,,,19.0,23.0,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
203,37.21,,,,,15.0,20.0,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,13.95,,,,,12.0,19.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
217,9.3,,,,,23.0,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
218,,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
