,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
341,23.26,22.0,4.0,Missing_data,No,1,No
342,18.6,23.0,4.0,Missing_data,No,1,No
343,18.6,23.0,4.0,Missing_data,No,1,No
344,74.42,20.0,3.0,Missing_data,No,1,No
345,27.91,2.0,1.0,Missing_data,Yes,1,No
346,93.02,24.0,4.0,Missing_data,No,1,No
347,27.91,24.0,4.0,Missing_data,No,1,No
348,23.26,24.0,4.0,Missing_data,No,1,No
349,0.0,19.0,3.0,Missing_data,No,1,No
350,18.6,21.0,4.0,Missing_data,No,1,No
351,18.6,20.0,3.0,Missing_data,No,1,No
352,9.3,24.0,4.0,Missing_data,No,1,No
353,23.26,23.0,3.0,Missing_data,No,1,No
354,27.91,23.0,3.0,Missing_data,No,1,No
355,23.26,22.0,4.0,Missing_data,No,1,No
356,27.91,24.0,4.0,Missing_data,No,1,No
357,93.02,20.0,3.0,Missing_data,No,1,No
358,13.95,20.0,3.0,Missing_data,No,1,No
359,74.42,22.0,4.0,Missing_data,No,1,No
360,0.0,,Missing_data,Missing_data,,-1,
361,13.95,17.0,2.0,1.0,No,1,No
362,0.0,,Missing_data,Missing_data,,-1,
363,0.0,,Missing_data,Missing_data,,-1,
364,0.0,,Missing_data,Missing_data,,-1,
365,23.26,24.0,4.0,Missing_data,No,1,No
366,11.63,23.0,4.0,Missing_data,No,1,No
367,13.95,23.0,4.0,Missing_data,No,1,No
368,13.95,24.0,4.0,Missing_data,No,1,No
369,23.26,23.0,4.0,Missing_data,No,1,No
370,0.0,,Missing_data,Missing_data,,-1,
371,79.07,15.0,2.0,1.0,Yes,1,No
372,6.98,23.0,4.0,Missing_data,No,1,No
373,93.02,24.0,4.0,Missing_data,No,4,No
374,139.53,21.0,4.0,Missing_data,No,1,No
375,32.56,23.0,4.0,Missing_data,Yes,1,No
376,69.77,24.0,4.0,Missing_data,No,1,No
377,46.51,18.0,2.0,4.0,No,1,No
378,232.56,1.0,4.0,Missing_data,No,1,No
379,0.0,1.0,4.0,Missing_data,No,2,No
380,23.26,24.0,3.0,Missing_data,No,1,No
381,93.02,20.0,3.0,Missing_data,No,1,No
382,6.98,20.0,4.0,Missing_data,No,1,No
383,0.0,20.0,3.0,Missing_data,No,1,No
384,69.77,24.0,4.0,Missing_data,No,1,No
385,55.81,23.0,4.0,Missing_data,No,1,No
386,69.77,23.0,4.0,Missing_data,No,1,No
387,55.81,23.0,4.0,Missing_data,No,1,No
388,46.51,23.0,4.0,Missing_data,Yes,1,No
389,0.0,22.0,2.0,1.0,No,2,No
390,9.3,23.0,4.0,Missing_data,No,2,No
391,18.6,6.0,4.0,Missing_data,No,1,No
392,32.56,20.0,4.0,Missing_data,No,1,No
393,46.51,23.0,4.0,1.0,No,1,No
394,46.51,24.0,4.0,Missing_data,Yes,1,No
395,0.0,24.0,4.0,Missing_data,No,1,No
396,116.28,23.0,3.0,Missing_data,No,1,No
397,93.02,24.0,4.0,Missing_data,No,1,No
398,69.77,20.0,4.0,Missing_data,No,1,No
399,93.02,24.0,4.0,Missing_data,No,1,No
400,93.02,20.0,3.0,Missing_data,No,1,No
401,55.81,21.0,3.0,Missing_data,No,1,No
402,0.0,24.0,4.0,Missing_data,No,1,No
403,18.6,21.0,3.0,Missing_data,No,1,No
404,46.51,22.0,2.0,1.0,Missing_data,1,No
405,232.56,,Missing_data,Missing_data,No,1,No
406,46.51,22.0,3.0,Missing_data,No,1,No
407,41.86,20.0,3.0,Missing_data,No,1,No
408,27.91,20.0,4.0,Missing_data,Yes,1,No
409,23.26,18.0,2.0,2.0,No,1,No
410,18.6,24.0,4.0,Missing_data,No,1,No
411,4.65,12.0,2.0,3.0,No,2,No
412,4.65,24.0,4.0,Missing_data,No,1,No
413,32.56,15.0,1.0,1.0,Yes,1,No
414,69.77,20.0,3.0,Missing_data,No,1,No
415,4.65,23.0,4.0,Missing_data,No,1,No
416,69.77,20.0,3.0,3.0,No,1,No
417,186.05,21.0,4.0,Missing_data,No,1,No
418,139.53,23.0,4.0,Missing_data,No,1,No
419,13.95,23.0,4.0,Missing_data,No,1,No
420,0.0,,Missing_data,Missing_data,,-1,
421,9.3,23.0,4.0,Missing_data,No,1,No
422,9.3,23.0,1.0,Missing_data,No,1,No
423,13.95,24.0,4.0,Missing_data,No,3,No
424,18.6,23.0,4.0,Missing_data,No,1,No
425,23.26,24.0,2.0,1.0,No,1,No
426,18.6,23.0,4.0,Missing_data,No,1,No
427,18.6,24.0,4.0,Missing_data,No,3,No
428,20.93,24.0,2.0,1.0,No,1,No
429,46.51,8.0,4.0,1.0,Yes,2,No
430,4.65,23.0,4.0,Missing_data,No,1,No
431,9.3,24.0,4.0,Missing_data,No,1,No
432,0.0,,Missing_data,Missing_data,,-1,
433,2.33,24.0,4.0,Missing_data,No,1,No
434,2.33,22.0,3.0,Missing_data,No,1,No
435,0.0,,Missing_data,Missing_data,,-1,
436,0.0,,Missing_data,Missing_data,,-1,
437,9.3,21.0,3.0,2.0,Missing_data,1,No
438,0.0,,Missing_data,Missing_data,,-1,
439,0.0,,Missing_data,Missing_data,,-1,
440,23.26,24.0,2.0,1.0,No,1,No
441,18.6,24.0,4.0,Missing_data,No,1,No
442,18.6,12.0,1.0,Missing_data,No,1,No
443,37.21,22.0,3.0,1.0,Missing_data,1,No
444,0.0,,Missing_data,Missing_data,,-1,
445,0.0,,Missing_data,Missing_data,,-1,
446,0.0,,Missing_data,Missing_data,,-1,
447,0.0,,Missing_data,Missing_data,,-1,
448,0.0,,Missing_data,Missing_data,,-1,
449,9.3,22.0,4.0,Missing_data,No,1,No
450,0.0,,Missing_data,Missing_data,,-1,
451,0.0,,Missing_data,Missing_data,,-1,
452,13.95,23.0,3.0,Missing_data,No,1,No
453,4.65,24.0,4.0,Missing_data,No,1,No
454,16.28,18.0,2.0,1.0,No,1,No
455,13.95,6.0,3.0,1.0,No,1,No
456,0.0,,Missing_data,Missing_data,,-1,
457,0.0,,Missing_data,Missing_data,,-1,
458,9.3,2.0,1.0,Missing_data,Yes,5,No
459,0.0,,Missing_data,Missing_data,,-1,
460,0.0,,Missing_data,Missing_data,,-1,
461,0.0,,Missing_data,Missing_data,,-1,
462,6.98,21.0,3.0,Missing_data,No,1,No
463,4.65,20.0,4.0,Missing_data,Missing_data,1,No
464,27.91,10.0,4.0,Missing_data,Missing_data,1,No
465,46.51,21.0,4.0,Missing_data,No,1,No
466,0.0,1.0,1.0,2.0,Yes,6,No
467,23.26,20.0,3.0,Missing_data,Yes,1,No
468,0.0,,Missing_data,Missing_data,,-1,
469,0.0,,Missing_data,Missing_data,,-1,
470,0.0,,Missing_data,Missing_data,,-1,
471,0.0,,Missing_data,Missing_data,,-1,
472,0.0,,Missing_data,Missing_data,,-1,
473,4.65,,3.0,Missing_data,No,1,No
474,0.0,15.0,2.0,Missing_data,No,2,No
475,0.0,,Missing_data,Missing_data,,-1,
476,4.65,,3.0,1.0,No,1,No
477,65.12,,3.0,Missing_data,No,1,No
478,27.91,18.0,3.0,1.0,No,1,No
479,9.3,12.0,1.0,2.0,No,1,No
480,0.0,,Missing_data,Missing_data,,-1,
481,0.0,,Missing_data,Missing_data,,-1,
482,0.0,,Missing_data,Missing_data,,-1,
483,0.0,,Missing_data,Missing_data,,-1,
484,0.0,,Missing_data,Missing_data,,-1,
485,37.21,19.0,3.0,1.0,No,1,No
486,0.0,,Missing_data,Missing_data,,-1,
487,4.65,24.0,4.0,Missing_data,No,1,No
488,0.0,22.0,4.0,Missing_data,Yes,2,No
489,18.6,20.0,4.0,1.0,No,1,No
490,37.21,22.0,3.0,1.0,No,1,No
491,37.21,20.0,2.0,1.0,No,1,No
492,23.26,23.0,4.0,Missing_data,No,2,No
493,0.0,,Missing_data,Missing_data,,-1,
494,0.0,,Missing_data,Missing_data,,-1,
495,9.3,12.0,2.0,4.0,No,1,No
496,0.0,,Missing_data,Missing_data,,-1,
497,16.28,24.0,4.0,Missing_data,No,1,No
498,13.95,20.0,3.0,1.0,No,1,No
499,13.95,22.0,2.0,1.0,Yes,1,No
500,0.0,,Missing_data,Missing_data,,0,
501,0.0,18.0,3.0,Missing_data,Yes,1,No
502,0.0,,Missing_data,Missing_data,,-1,
503,18.6,24.0,4.0,Missing_data,No,1,No
504,0.0,,Missing_data,Missing_data,,-1,
505,16.28,2.0,2.0,1.0,No,1,No
506,27.91,16.0,1.0,1.0,No,1,No
507,13.95,20.0,4.0,Missing_data,Yes,1,No
508,4.65,24.0,4.0,Missing_data,No,2,No
509,4.65,24.0,4.0,Missing_data,Missing_data,2,No
510,0.0,,Missing_data,Missing_data,,0,
511,46.51,,Missing_data,Missing_data,Yes,1,No
512,0.0,,Missing_data,Missing_data,,0,
513,23.26,12.0,4.0,Missing_data,No,1,No
